folder,file,URL,start,end,notes
1 intro,1 first speech.mp4,https://www.youtube.com/watch?v=VDUysV8JH5M,,,
1 intro,2 second speech.mp4,https://www.youtube.com/watch?v=KmDYXaaT9sA,60,1424,cut 510-953
2 dealing with fear,1 dealing with fear.mp4,https://www.youtube.com/watch?v=aImrjNPrh30,,,
2 dealing with fear,2 seinfeld marcus.mp4,https://www.youtube.com/shorts/FAED2CLD1IM,,,
2 dealing with fear,3 FOCUS ON YOURSELF.mp4,https://www.youtube.com/watch?v=k9m7BgRRInc,60,162,
2 dealing with fear,4 Tips to IMPROVE Your Public Speaking.mp4,https://www.youtube.com/watch?v=962eYqe--Yc&t=449s,611,776,
3 punchlist,7 Public Speaking Tips for Beginners Alexander Lyon.mp4,https://www.youtube.com/watch?v=Ns_z4wEtdRM,,,
4 the hook,1 How To Begin Your Presentation with Simon Sinek.mp4,https://www.youtube.com/watch?v=fgR7VjjHMq8,,,
4 the hook,2 Start a speech like Simon Sinek.mp4,https://www.youtube.com/shorts/ISdFkyJrfOc,,,
4 the hook,3 How to start a speech communication coach Alexander Lyon.mp4,https://www.youtube.com/watch?v=hN7vsXAUCgk,,,
4 the hook,4 How to Start a Speech.mp4,https://www.youtube.com/watch?v=7tzentBmmUc,,,
4 the hook,5 How to start your presentation 4 step formula for a killer intro.mp4,https://www.youtube.com/watch?v=aGEFtRwPhE4,,,
4 the hook,6 best man.mp4,https://www.youtube.com/shorts/6HD7B2acHUc,,,
4 the hook,7 Obama short.mp4,https://www.youtube.com/shorts/3XPuGqqWLtk,,,
4 the hook,8 How to Start a Presentation.mp4,https://www.youtube.com/shorts/11AQ1EZd3D0,,,
4 the hook,9 you have to disappear.mp4,https://www.youtube.com/shorts/7qMNFZpdxps,,,
4 the hook,10 ted intros.mp4,https://www.youtube.com/watch?v=Gwb2ufQc6mw,,,
5 policy,1 Bill Clinton inaugural address.mp4,https://www.youtube.com/watch?v=Tu33kA83Rfo,0,372,
5 policy,2 Challenger President Reagans Challenger Disaster Speech.mp4,https://www.youtube.com/watch?v=Qa7icmqgsow,,,
5 policy,3 Kurt russel Miracle on ice speech you were born for this.mp4,https://www.youtube.com/watch?v=tdmyoMe4iHM,,,
5 policy,4 Mel Gibson speech in braveheart.mp4,https://www.youtube.com/watch?v=G4Ym9zokSZo,,,
5 policy,5 We are marshall Matthew MaConaughey speck.mp4,https://www.youtube.com/watch?v=xM311HohUzA,,,
5 policy,6 Denzel Washington address at dilard university.mp4,https://www.youtube.com/watch?v=ROiNPUwg9bQ,270,950,
5 policy,7 MADD Speaker Debbie Sausville.mp4,https://www.youtube.com/watch?v=RLu8Hxrv01Q,,,
5 policy,8 Abraham Lincoln Gettysburg speech.mp4,https://www.youtube.com/watch?v=9TCMHVmNc5w,,,
6 humor,1 carell thank you.mp4,https://www.youtube.com/watch?v=B38PPtIL2y4,36,139,
6 humor,2 The Skill of Humor.mp4,https://www.youtube.com/watch?v=MdZAMSyn_As,,,
6 humor,3 What makes things funny Peter McGraw.mp4,https://www.youtube.com/watch?v=ysSgG5V-R3U,,,
6 humor,4 seinfeld.mp4,http://youtube.com/watch?v=ppR78fk1gHc,2785,3277,
6 humor,5 mother in law.mp4,https://www.youtube.com/watch?v=7JGcpxoCB1U,,,
7 Jestures,4 essential body language tips from a world champion public speaker.mp4,https://www.youtube.com/watch?v=ZK3jSXYBNak,,,
8 Passion,1 Laken Rileys stepdad gives victim impact.mp4,https://www.youtube.com/watch?v=3IePA3i9uDA,,,
9 Practice,2 Motivational Practice Video Eddy laughed at this.mp4,https://www.youtube.com/watch?v=l9xOrjbfs3w,,,
10 evaluating speeches,0 How to Magically Connect with Anyone.mp4,https://www.youtube.com/watch?v=D4cV8yfgNyI,,,
10 evaluating speeches,1 Why curiosity gets you farther than ambition.mp4,https://www.youtube.com/watch?v=Ow-0P3SyZpM,,,
10 evaluating speeches,2 Best HS Graduation Speech Ever! Weber High Graduation 2015.mp4,https://www.youtube.com/watch?v=DRiV4KZBoIY,,,
10 evaluating speeches,3 The One Thing All Great Teachers Do.mp4,https://www.youtube.com/watch?v=WwTpfVQgkU0,,,
10 evaluating speeches,4 Why good leaders make you feel safe.mp4,https://www.youtube.com/watch?v=lmyZMtPVodo,,,
10 evaluating speeches,5 Inside the Mind of a Master Procrastinator.mp4,https://www.youtube.com/watch?v=arj7oStGLkU,,,
11 Homilies in General,1 Mark beard homily first Sunday of Lent.mp4,https://www.youtube.com/watch?v=yTibzfOlYIY,,,
11 Homilies in General,2 deacon doug,https://www.youtube.com/watch?v=6CJF-N38988&t=2420s,2400,3000,
11 Homilies in General,3 Thorn in the Side Fr Mike.mp4,https://www.youtube.com/watch?v=VaeAyJxfScU,,,
11 Homilies in General,4 Thorn in my side short fr mike.mp4,https://www.youtube.com/shorts/_vP4kjaukNw,,,
11 Homilies in General,5 river runs through it.mp4,https://www.youtube.com/watch?v=36-VQQawpsk,,,
12 Daily Homilies,1 Thanksgiving Mass Homily 10:22:18.mp4,https://www.youtube.com/watch?v=REdx2NS5XjM,,,
12 Daily Homilies,2 Thanksgiving Craig.mp4,https://www.youtube.com/watch?v=SGPRzquFidE,780,1080,
12 Daily Homilies,3 Fr Mark Thanksgiving Homily 2021.mp4,https://www.youtube.com/watch?v=-KA5ea0hXdU,,,
12 Daily Homilies,4 homily short.mp4,https://www.youtube.com/shorts/Iat9D5Mv-gs,,,
12 Daily Homilies,5 Why Does Evil Exist if We Have a Good and Loving God.mp4,https://www.youtube.com/watch?v=Dt-WT4v_59o,,,
12 Daily Homilies,6 MASS FOR FRIDAY AUGUST 29 John the Baptist.mp4,https://www.youtube.com/watch?v=GPCM9G9C1z8,510,1470,
12 Daily Homilies,7 our lady of sorrows.mp4,https://www.youtube.com/watch?v=PAs_C_qdq58,530,985,
13 easter homily,1 A WHOLE NEW WORLD.mp4,https://www.youtube.com/watch?v=hHYdIwGWnys,,,
14 funeral homily,1 Angela Faddis Funeral Homily.mp4,https://www.youtube.com/watch?v=XV3rW3n9I9M,,,
14 funeral homily,2 A Funeral Homily Lukes Formula.mp4,https://www.youtube.com/watch?v=KPw4QCvO_7c,,,
15 illustrations,1 The power of storytelling to change the world.mp4,https://www.youtube.com/watch?v=6Bo3dpVb5jw,,,
15 illustrations,2 Give me 9 min,https://www.youtube.com/watch?v=hNuAv-42jzY,,,
15 illustrations,3 More Storytelling Techniq,https://www.youtube.com/watch?v=f8yoh1rk_6I,,,
15 illustrations,4 The power of storytelling to change the world,https://www.youtube.com/watch?v=6Bo3dpVb5jw,20,1036,cut 345-1005